key,affinity,fold0,fold1,fold2,fold3,fold4
2KFY_15_RNA_B_2KFY_15_PROT_A,-8.84,train,test,train,train,train
2KFY_16_RNA_B_2KFY_16_PROT_A,-8.84,train,test,train,train,train
2KFY_17_RNA_B_2KFY_17_PROT_A,-8.84,train,test,train,train,train
2KFY_18_RNA_B_2KFY_18_PROT_A,-8.84,train,test,train,train,train
2KFY_19_RNA_B_2KFY_19_PROT_A,-8.84,train,test,train,train,train
2KFY_1_RNA_B_2KFY_1_PROT_A,-8.84,train,test,train,train,train
2KFY_2_RNA_B_2KFY_2_PROT_A,-8.84,train,test,train,train,train
2KFY_3_RNA_B_2KFY_3_PROT_A,-8.84,train,test,train,train,train
2KFY_4_RNA_B_2KFY_4_PROT_A,-8.84,train,test,train,train,train
2KFY_5_RNA_B_2KFY_5_PROT_A,-8.84,train,test,train,train,train
2KFY_6_RNA_B_2KFY_6_PROT_A,-8.84,train,test,train,train,train
2KFY_7_RNA_B_2KFY_7_PROT_A,-8.84,train,test,train,train,train
2KFY_8_RNA_B_2KFY_8_PROT_A,-8.84,train,test,train,train,train
2KFY_9_RNA_B_2KFY_9_PROT_A,-8.84,train,test,train,train,train
2KG0_0_RNA_B_2KG0_0_PROT_A,-7.4,train,train,train,test,train
2KG0_10_RNA_B_2KG0_10_PROT_A,-7.4,train,train,train,test,train
2KG0_11_RNA_B_2KG0_11_PROT_A,-7.4,train,train,train,test,train
2KG0_12_RNA_B_2KG0_12_PROT_A,-7.4,train,train,train,test,train
2KG0_13_RNA_B_2KG0_13_PROT_A,-7.4,train,train,train,test,train
2KG0_14_RNA_B_2KG0_14_PROT_A,-7.4,train,train,train,test,train
2KG0_15_RNA_B_2KG0_15_PROT_A,-7.4,train,train,train,test,train
2KG0_16_RNA_B_2KG0_16_PROT_A,-7.4,train,train,train,test,train
2KG0_17_RNA_B_2KG0_17_PROT_A,-7.4,train,train,train,test,train
2KG0_18_RNA_B_2KG0_18_PROT_A,-7.4,train,train,train,test,train
2KG0_19_RNA_B_2KG0_19_PROT_A,-7.4,train,train,train,test,train
2KG0_1_RNA_B_2KG0_1_PROT_A,-7.4,train,train,train,test,train
2KG0_2_RNA_B_2KG0_2_PROT_A,-7.4,train,train,train,test,train
2KG0_3_RNA_B_2KG0_3_PROT_A,-7.4,train,train,train,test,train
2KG0_4_RNA_B_2KG0_4_PROT_A,-7.4,train,train,train,test,train
2KG0_5_RNA_B_2KG0_5_PROT_A,-7.4,train,train,train,test,train
2KG0_6_RNA_B_2KG0_6_PROT_A,-7.4,train,train,train,test,train
2KG0_7_RNA_B_2KG0_7_PROT_A,-7.4,train,train,train,test,train
2KG0_8_RNA_B_2KG0_8_PROT_A,-7.4,train,train,train,test,train
2KG0_9_RNA_B_2KG0_9_PROT_A,-7.4,train,train,train,test,train
2KG1_0_RNA_B_2KG1_0_PROT_A,-8.84,train,train,test,train,train
2KG1_10_RNA_B_2KG1_10_PROT_A,-8.84,train,train,test,train,train
2KG1_11_RNA_B_2KG1_11_PROT_A,-8.84,train,train,test,train,train
2KG1_12_RNA_B_2KG1_12_PROT_A,-8.84,train,train,test,train,train
2KG1_13_RNA_B_2KG1_13_PROT_A,-8.84,train,train,test,train,train
2KG1_14_RNA_B_2KG1_14_PROT_A,-8.84,train,train,test,train,train
2KG1_15_RNA_B_2KG1_15_PROT_A,-8.84,train,train,test,train,train
2KG1_16_RNA_B_2KG1_16_PROT_A,-8.84,train,train,test,train,train
2KG1_17_RNA_B_2KG1_17_PROT_A,-8.84,train,train,test,train,train
2KG1_18_RNA_B_2KG1_18_PROT_A,-8.84,train,train,test,train,train
2KG1_19_RNA_B_2KG1_19_PROT_A,-8.84,train,train,test,train,train
2KG1_1_RNA_B_2KG1_1_PROT_A,-8.84,train,train,test,train,train
2KG1_2_RNA_B_2KG1_2_PROT_A,-8.84,train,train,test,train,train
2KG1_3_RNA_B_2KG1_3_PROT_A,-8.84,train,train,test,train,train
2KG1_4_RNA_B_2KG1_4_PROT_A,-8.84,train,train,test,train,train
2KG1_5_RNA_B_2KG1_5_PROT_A,-8.84,train,train,test,train,train
2KG1_6_RNA_B_2KG1_6_PROT_A,-8.84,train,train,test,train,train
2KG1_7_RNA_B_2KG1_7_PROT_A,-8.84,train,train,test,train,train
2KG1_8_RNA_B_2KG1_8_PROT_A,-8.84,train,train,test,train,train
2KG1_9_RNA_B_2KG1_9_PROT_A,-8.84,train,train,test,train,train
2KX5_0_RNA_A_2KX5_0_PROT_B,-12.271,train,test,train,train,train
2KX5_1_RNA_A_2KX5_1_PROT_B,-12.271,train,test,train,train,train
2KX5_2_RNA_A_2KX5_2_PROT_B,-12.271,train,test,train,train,train
2KX5_3_RNA_A_2KX5_3_PROT_B,-12.271,train,test,train,train,train
2KX5_4_RNA_A_2KX5_4_PROT_B,-12.271,train,test,train,train,train
2KX5_5_RNA_A_2KX5_5_PROT_B,-12.271,train,test,train,train,train
2KX5_6_RNA_A_2KX5_6_PROT_B,-12.271,train,test,train,train,train
2KX5_7_RNA_A_2KX5_7_PROT_B,-12.271,train,test,train,train,train
2KX5_8_RNA_A_2KX5_8_PROT_B,-12.271,train,test,train,train,train
2KX5_9_RNA_A_2KX5_9_PROT_B,-12.271,train,test,train,train,train
2KXN_0_RNA_A_2KXN_0_PROT_B,-8.09,train,train,train,train,test
2KXN_10_RNA_A_2KXN_10_PROT_B,-8.09,train,train,train,train,test
2KXN_11_RNA_A_2KXN_11_PROT_B,-8.09,train,train,train,train,test
2KXN_1_RNA_A_2KXN_1_PROT_B,-8.09,train,train,train,train,test
2KXN_2_RNA_A_2KXN_2_PROT_B,-8.09,train,train,train,train,test
2KXN_3_RNA_A_2KXN_3_PROT_B,-8.09,train,train,train,train,test
2KXN_4_RNA_A_2KXN_4_PROT_B,-8.09,train,train,train,train,test
2KXN_5_RNA_A_2KXN_5_PROT_B,-8.09,train,train,train,train,test
2KXN_6_RNA_A_2KXN_6_PROT_B,-8.09,train,train,train,train,test
2KXN_7_RNA_A_2KXN_7_PROT_B,-8.09,train,train,train,train,test
2KXN_8_RNA_A_2KXN_8_PROT_B,-8.09,train,train,train,train,test
2KXN_9_RNA_A_2KXN_9_PROT_B,-8.09,train,train,train,train,test
2L2K_0_RNA_A_2L2K_0_PROT_B,-8.33,train,train,train,test,train
2L2K_10_RNA_A_2L2K_10_PROT_B,-8.33,train,train,train,test,train
2L2K_11_RNA_A_2L2K_11_PROT_B,-8.33,train,train,train,test,train
2L2K_12_RNA_A_2L2K_12_PROT_B,-8.33,train,train,train,test,train
2L2K_13_RNA_A_2L2K_13_PROT_B,-8.33,train,train,train,test,train
2L2K_14_RNA_A_2L2K_14_PROT_B,-8.33,train,train,train,test,train
2L2K_15_RNA_A_2L2K_15_PROT_B,-8.33,train,train,train,test,train
2L2K_16_RNA_A_2L2K_16_PROT_B,-8.33,train,train,train,test,train
2L2K_17_RNA_A_2L2K_17_PROT_B,-8.33,train,train,train,test,train
2L2K_18_RNA_A_2L2K_18_PROT_B,-8.33,train,train,train,test,train
2L2K_19_RNA_A_2L2K_19_PROT_B,-8.33,train,train,train,test,train
2L2K_1_RNA_A_2L2K_1_PROT_B,-8.33,train,train,train,test,train
2L2K_2_RNA_A_2L2K_2_PROT_B,-8.33,train,train,train,test,train
2L2K_3_RNA_A_2L2K_3_PROT_B,-8.33,train,train,train,test,train
2L2K_4_RNA_A_2L2K_4_PROT_B,-8.33,train,train,train,test,train
2L2K_5_RNA_A_2L2K_5_PROT_B,-8.33,train,train,train,test,train
2L2K_6_RNA_A_2L2K_6_PROT_B,-8.33,train,train,train,test,train
2L2K_7_RNA_A_2L2K_7_PROT_B,-8.33,train,train,train,test,train
2L2K_8_RNA_A_2L2K_8_PROT_B,-8.33,train,train,train,test,train
2L2K_9_RNA_A_2L2K_9_PROT_B,-8.33,train,train,train,test,train
2L3C_0_RNA_B_2L3C_0_PROT_A,-8.39,train,train,test,train,train
2L3C_10_RNA_B_2L3C_10_PROT_A,-8.39,train,train,test,train,train
2L3C_11_RNA_B_2L3C_11_PROT_A,-8.39,train,train,test,train,train
2L3C_12_RNA_B_2L3C_12_PROT_A,-8.39,train,train,test,train,train
2L3C_13_RNA_B_2L3C_13_PROT_A,-8.39,train,train,test,train,train
2L3C_14_RNA_B_2L3C_14_PROT_A,-8.39,train,train,test,train,train
2L3C_15_RNA_B_2L3C_15_PROT_A,-8.39,train,train,test,train,train
2L3C_16_RNA_B_2L3C_16_PROT_A,-8.39,train,train,test,train,train
2L3C_17_RNA_B_2L3C_17_PROT_A,-8.39,train,train,test,train,train
2L3C_18_RNA_B_2L3C_18_PROT_A,-8.39,train,train,test,train,train
2L3C_19_RNA_B_2L3C_19_PROT_A,-8.39,train,train,test,train,train
2L3C_1_RNA_B_2L3C_1_PROT_A,-8.39,train,train,test,train,train
2L3C_2_RNA_B_2L3C_2_PROT_A,-8.39,train,train,test,train,train
2L3C_3_RNA_B_2L3C_3_PROT_A,-8.39,train,train,test,train,train
2L3C_4_RNA_B_2L3C_4_PROT_A,-8.39,train,train,test,train,train
2L3C_5_RNA_B_2L3C_5_PROT_A,-8.39,train,train,test,train,train
2L3C_6_RNA_B_2L3C_6_PROT_A,-8.39,train,train,test,train,train
2L3C_7_RNA_B_2L3C_7_PROT_A,-8.39,train,train,test,train,train
2L3C_8_RNA_B_2L3C_8_PROT_A,-8.39,train,train,test,train,train
2L3C_9_RNA_B_2L3C_9_PROT_A,-8.39,train,train,test,train,train
2L41_0_RNA_B_2L41_0_PROT_A,-5.88,train,test,train,train,train
2L41_10_RNA_B_2L41_10_PROT_A,-5.88,train,test,train,train,train
2L41_11_RNA_B_2L41_11_PROT_A,-5.88,train,test,train,train,train
2L41_12_RNA_B_2L41_12_PROT_A,-5.88,train,test,train,train,train
2L41_13_RNA_B_2L41_13_PROT_A,-5.88,train,test,train,train,train
2L41_14_RNA_B_2L41_14_PROT_A,-5.88,train,test,train,train,train
2L41_15_RNA_B_2L41_15_PROT_A,-5.88,train,test,train,train,train
2L41_16_RNA_B_2L41_16_PROT_A,-5.88,train,test,train,train,train
2L41_17_RNA_B_2L41_17_PROT_A,-5.88,train,test,train,train,train
2L41_18_RNA_B_2L41_18_PROT_A,-5.88,train,test,train,train,train
2L41_19_RNA_B_2L41_19_PROT_A,-5.88,train,test,train,train,train
2L41_1_RNA_B_2L41_1_PROT_A,-5.88,train,test,train,train,train
2L41_2_RNA_B_2L41_2_PROT_A,-5.88,train,test,train,train,train
2L41_3_RNA_B_2L41_3_PROT_A,-5.88,train,test,train,train,train
2L41_4_RNA_B_2L41_4_PROT_A,-5.88,train,test,train,train,train
2L41_5_RNA_B_2L41_5_PROT_A,-5.88,train,test,train,train,train
2L41_6_RNA_B_2L41_6_PROT_A,-5.88,train,test,train,train,train
2L41_7_RNA_B_2L41_7_PROT_A,-5.88,train,test,train,train,train
2L41_8_RNA_B_2L41_8_PROT_A,-5.88,train,test,train,train,train
2L41_9_RNA_B_2L41_9_PROT_A,-5.88,train,test,train,train,train
2LA5_0_RNA_A_2LA5_0_PROT_B,-11.481,train,test,train,train,train
2LA5_1_RNA_A_2LA5_1_PROT_B,-11.481,train,test,train,train,train
2LA5_2_RNA_A_2LA5_2_PROT_B,-11.481,train,test,train,train,train
2LA5_3_RNA_A_2LA5_3_PROT_B,-11.481,train,test,train,train,train
2LA5_4_RNA_A_2LA5_4_PROT_B,-11.481,train,test,train,train,train
2LA5_5_RNA_A_2LA5_5_PROT_B,-11.481,train,test,train,train,train
2LA5_6_RNA_A_2LA5_6_PROT_B,-11.481,train,test,train,train,train
2LA5_7_RNA_A_2LA5_7_PROT_B,-11.481,train,test,train,train,train
2LA5_8_RNA_A_2LA5_8_PROT_B,-11.481,train,test,train,train,train
2LA5_9_RNA_A_2LA5_9_PROT_B,-11.481,train,test,train,train,train
2LBS_0_RNA_A_2LBS_0_PROT_B,-6.09,test,train,train,train,train
2LBS_10_RNA_A_2LBS_10_PROT_B,-6.09,test,train,train,train,train
2LBS_11_RNA_A_2LBS_11_PROT_B,-6.09,test,train,train,train,train
2LBS_12_RNA_A_2LBS_12_PROT_B,-6.09,test,train,train,train,train
2LBS_13_RNA_A_2LBS_13_PROT_B,-6.09,test,train,train,train,train
2LBS_14_RNA_A_2LBS_14_PROT_B,-6.09,test,train,train,train,train
2LBS_15_RNA_A_2LBS_15_PROT_B,-6.09,test,train,train,train,train
2LBS_1_RNA_A_2LBS_1_PROT_B,-6.09,test,train,train,train,train
2LBS_2_RNA_A_2LBS_2_PROT_B,-6.09,test,train,train,train,train
2LBS_3_RNA_A_2LBS_3_PROT_B,-6.09,test,train,train,train,train
2LBS_4_RNA_A_2LBS_4_PROT_B,-6.09,test,train,train,train,train
2LBS_5_RNA_A_2LBS_5_PROT_B,-6.09,test,train,train,train,train
2LBS_6_RNA_A_2LBS_6_PROT_B,-6.09,test,train,train,train,train
2LBS_7_RNA_A_2LBS_7_PROT_B,-6.09,test,train,train,train,train
2LBS_8_RNA_A_2LBS_8_PROT_B,-6.09,test,train,train,train,train
2LBS_9_RNA_A_2LBS_9_PROT_B,-6.09,test,train,train,train,train
2LEB_0_RNA_B_2LEB_0_PROT_A,-9.32,train,train,test,train,train
2LEB_10_RNA_B_2LEB_10_PROT_A,-9.32,train,train,test,train,train
2LEB_11_RNA_B_2LEB_11_PROT_A,-9.32,train,train,test,train,train
2LEB_12_RNA_B_2LEB_12_PROT_A,-9.32,train,train,test,train,train
2LEB_13_RNA_B_2LEB_13_PROT_A,-9.32,train,train,test,train,train
2LEB_14_RNA_B_2LEB_14_PROT_A,-9.32,train,train,test,train,train
2LEB_15_RNA_B_2LEB_15_PROT_A,-9.32,train,train,test,train,train
2LEB_16_RNA_B_2LEB_16_PROT_A,-9.32,train,train,test,train,train
2LEB_17_RNA_B_2LEB_17_PROT_A,-9.32,train,train,test,train,train
2LEB_18_RNA_B_2LEB_18_PROT_A,-9.32,train,train,test,train,train
2LEB_19_RNA_B_2LEB_19_PROT_A,-9.32,train,train,test,train,train
2LEB_1_RNA_B_2LEB_1_PROT_A,-9.32,train,train,test,train,train
2LEB_2_RNA_B_2LEB_2_PROT_A,-9.32,train,train,test,train,train
2LEB_3_RNA_B_2LEB_3_PROT_A,-9.32,train,train,test,train,train
2LEB_4_RNA_B_2LEB_4_PROT_A,-9.32,train,train,test,train,train
2LEB_5_RNA_B_2LEB_5_PROT_A,-9.32,train,train,test,train,train
2LEB_6_RNA_B_2LEB_6_PROT_A,-9.32,train,train,test,train,train
2LEB_7_RNA_B_2LEB_7_PROT_A,-9.32,train,train,test,train,train
2LEB_8_RNA_B_2LEB_8_PROT_A,-9.32,train,train,test,train,train
2LEB_9_RNA_B_2LEB_9_PROT_A,-9.32,train,train,test,train,train
2LEC_0_RNA_B_2LEC_0_PROT_A,-9.078,train,train,test,train,train
2LEC_10_RNA_B_2LEC_10_PROT_A,-9.078,train,train,test,train,train
2LEC_11_RNA_B_2LEC_11_PROT_A,-9.078,train,train,test,train,train
2LEC_12_RNA_B_2LEC_12_PROT_A,-9.078,train,train,test,train,train
2LEC_13_RNA_B_2LEC_13_PROT_A,-9.078,train,train,test,train,train
2LEC_14_RNA_B_2LEC_14_PROT_A,-9.078,train,train,test,train,train
2LEC_15_RNA_B_2LEC_15_PROT_A,-9.078,train,train,test,train,train
2LEC_16_RNA_B_2LEC_16_PROT_A,-9.078,train,train,test,train,train
2LEC_17_RNA_B_2LEC_17_PROT_A,-9.078,train,train,test,train,train
2LEC_18_RNA_B_2LEC_18_PROT_A,-9.078,train,train,test,train,train
2LEC_19_RNA_B_2LEC_19_PROT_A,-9.078,train,train,test,train,train
2LEC_1_RNA_B_2LEC_1_PROT_A,-9.078,train,train,test,train,train
2LEC_2_RNA_B_2LEC_2_PROT_A,-9.078,train,train,test,train,train
2LEC_3_RNA_B_2LEC_3_PROT_A,-9.078,train,train,test,train,train
2LEC_4_RNA_B_2LEC_4_PROT_A,-9.078,train,train,test,train,train
2LEC_5_RNA_B_2LEC_5_PROT_A,-9.078,train,train,test,train,train
2LEC_6_RNA_B_2LEC_6_PROT_A,-9.078,train,train,test,train,train
2LEC_7_RNA_B_2LEC_7_PROT_A,-9.078,train,train,test,train,train
2LEC_8_RNA_B_2LEC_8_PROT_A,-9.078,train,train,test,train,train
2LEC_9_RNA_B_2LEC_9_PROT_A,-9.078,train,train,test,train,train
2LI8_0_RNA_B_2LI8_0_PROT_A,-8.92,train,test,train,train,train
2LI8_10_RNA_B_2LI8_10_PROT_A,-8.92,train,test,train,train,train
2LI8_11_RNA_B_2LI8_11_PROT_A,-8.92,train,test,train,train,train
2LI8_12_RNA_B_2LI8_12_PROT_A,-8.92,train,test,train,train,train
2LI8_13_RNA_B_2LI8_13_PROT_A,-8.92,train,test,train,train,train
2LI8_14_RNA_B_2LI8_14_PROT_A,-8.92,train,test,train,train,train
2LI8_15_RNA_B_2LI8_15_PROT_A,-8.92,train,test,train,train,train
2LI8_16_RNA_B_2LI8_16_PROT_A,-8.92,train,test,train,train,train
2LI8_17_RNA_B_2LI8_17_PROT_A,-8.92,train,test,train,train,train
2LI8_18_RNA_B_2LI8_18_PROT_A,-8.92,train,test,train,train,train
2LI8_19_RNA_B_2LI8_19_PROT_A,-8.92,train,test,train,train,train
2LI8_1_RNA_B_2LI8_1_PROT_A,-8.92,train,test,train,train,train
2LI8_2_RNA_B_2LI8_2_PROT_A,-8.92,train,test,train,train,train
2LI8_3_RNA_B_2LI8_3_PROT_A,-8.92,train,test,train,train,train
2LI8_4_RNA_B_2LI8_4_PROT_A,-8.92,train,test,train,train,train
2LI8_5_RNA_B_2LI8_5_PROT_A,-8.92,train,test,train,train,train
2LI8_6_RNA_B_2LI8_6_PROT_A,-8.92,train,test,train,train,train
2LI8_7_RNA_B_2LI8_7_PROT_A,-8.92,train,test,train,train,train
2LI8_8_RNA_B_2LI8_8_PROT_A,-8.92,train,test,train,train,train
2LI8_9_RNA_B_2LI8_9_PROT_A,-8.92,train,test,train,train,train
2LUP_0_RNA_A_2LUP_0_PROT_B,-6.091,test,train,train,train,train
2LUP_10_RNA_A_2LUP_10_PROT_B,-6.091,test,train,train,train,train
2LUP_11_RNA_A_2LUP_11_PROT_B,-6.091,test,train,train,train,train
2LUP_12_RNA_A_2LUP_12_PROT_B,-6.091,test,train,train,train,train
2LUP_13_RNA_A_2LUP_13_PROT_B,-6.091,test,train,train,train,train
2LUP_14_RNA_A_2LUP_14_PROT_B,-6.091,test,train,train,train,train
2LUP_15_RNA_A_2LUP_15_PROT_B,-6.091,test,train,train,train,train
2LUP_1_RNA_A_2LUP_1_PROT_B,-6.091,test,train,train,train,train
2LUP_2_RNA_A_2LUP_2_PROT_B,-6.091,test,train,train,train,train
2LUP_3_RNA_A_2LUP_3_PROT_B,-6.091,test,train,train,train,train
2LUP_4_RNA_A_2LUP_4_PROT_B,-6.091,test,train,train,train,train
2LUP_5_RNA_A_2LUP_5_PROT_B,-6.091,test,train,train,train,train
2LUP_6_RNA_A_2LUP_6_PROT_B,-6.091,test,train,train,train,train
2LUP_7_RNA_A_2LUP_7_PROT_B,-6.091,test,train,train,train,train
2LUP_8_RNA_A_2LUP_8_PROT_B,-6.091,test,train,train,train,train
2LUP_9_RNA_A_2LUP_9_PROT_B,-6.091,test,train,train,train,train
2M8D_0_RNA_A_2M8D_0_PROT_B,-8.73,train,train,train,train,test
2M8D_10_RNA_A_2M8D_10_PROT_B,-8.73,train,train,train,train,test
2M8D_11_RNA_A_2M8D_11_PROT_B,-8.73,train,train,train,train,test
2M8D_12_RNA_A_2M8D_12_PROT_B,-8.73,train,train,train,train,test
2M8D_13_RNA_A_2M8D_13_PROT_B,-8.73,train,train,train,train,test
2M8D_14_RNA_A_2M8D_14_PROT_B,-8.73,train,train,train,train,test
2M8D_15_RNA_A_2M8D_15_PROT_B,-8.73,train,train,train,train,test
2M8D_1_RNA_A_2M8D_1_PROT_B,-8.73,train,train,train,train,test
2M8D_2_RNA_A_2M8D_2_PROT_B,-8.73,train,train,train,train,test
2M8D_3_RNA_A_2M8D_3_PROT_B,-8.73,train,train,train,train,test
2M8D_4_RNA_A_2M8D_4_PROT_B,-8.73,train,train,train,train,test
2M8D_5_RNA_A_2M8D_5_PROT_B,-8.73,train,train,train,train,test
2M8D_6_RNA_A_2M8D_6_PROT_B,-8.73,train,train,train,train,test
2M8D_7_RNA_A_2M8D_7_PROT_B,-8.73,train,train,train,train,test
2M8D_8_RNA_A_2M8D_8_PROT_B,-8.73,train,train,train,train,test
2M8D_9_RNA_A_2M8D_9_PROT_B,-8.73,train,train,train,train,test
2MB0_0_RNA_A_2MB0_0_PROT_B,-6.469,train,train,train,train,test
2MB0_10_RNA_A_2MB0_10_PROT_B,-6.469,train,train,train,train,test
2MB0_11_RNA_A_2MB0_11_PROT_B,-6.469,train,train,train,train,test
2MB0_12_RNA_A_2MB0_12_PROT_B,-6.469,train,train,train,train,test
2MB0_13_RNA_A_2MB0_13_PROT_B,-6.469,train,train,train,train,test
2MB0_14_RNA_A_2MB0_14_PROT_B,-6.469,train,train,train,train,test
2MB0_15_RNA_A_2MB0_15_PROT_B,-6.469,train,train,train,train,test
2MB0_16_RNA_A_2MB0_16_PROT_B,-6.469,train,train,train,train,test
2MB0_17_RNA_A_2MB0_17_PROT_B,-6.469,train,train,train,train,test
2MB0_18_RNA_A_2MB0_18_PROT_B,-6.469,train,train,train,train,test
2MB0_19_RNA_A_2MB0_19_PROT_B,-6.469,train,train,train,train,test
2MB0_1_RNA_A_2MB0_1_PROT_B,-6.469,train,train,train,train,test
2MB0_2_RNA_A_2MB0_2_PROT_B,-6.469,train,train,train,train,test
2MB0_3_RNA_A_2MB0_3_PROT_B,-6.469,train,train,train,train,test
2MB0_4_RNA_A_2MB0_4_PROT_B,-6.469,train,train,train,train,test
2MB0_5_RNA_A_2MB0_5_PROT_B,-6.469,train,train,train,train,test
2MB0_6_RNA_A_2MB0_6_PROT_B,-6.469,train,train,train,train,test
2MB0_7_RNA_A_2MB0_7_PROT_B,-6.469,train,train,train,train,test
2MB0_8_RNA_A_2MB0_8_PROT_B,-6.469,train,train,train,train,test
2MB0_9_RNA_A_2MB0_9_PROT_B,-6.469,train,train,train,train,test
2MFC_0_RNA_B_D_2MFC_0_PROT_A_C,-7.801,train,test,train,train,train
2MFC_10_RNA_B_D_2MFC_10_PROT_A_C,-7.801,train,test,train,train,train
2MFC_11_RNA_B_D_2MFC_11_PROT_A_C,-7.801,train,test,train,train,train
2MFC_12_RNA_B_D_2MFC_12_PROT_A_C,-7.801,train,test,train,train,train
2MFC_13_RNA_B_D_2MFC_13_PROT_A_C,-7.801,train,test,train,train,train
2MFC_14_RNA_B_D_2MFC_14_PROT_A_C,-7.801,train,test,train,train,train
2MFC_15_RNA_B_D_2MFC_15_PROT_A_C,-7.801,train,test,train,train,train
2MFC_16_RNA_B_D_2MFC_16_PROT_A_C,-7.801,train,test,train,train,train
2MFC_17_RNA_B_D_2MFC_17_PROT_A_C,-7.801,train,test,train,train,train
2MFC_18_RNA_B_D_2MFC_18_PROT_A_C,-7.801,train,test,train,train,train
2MFC_19_RNA_B_D_2MFC_19_PROT_A_C,-7.801,train,test,train,train,train
2MFC_1_RNA_B_D_2MFC_1_PROT_A_C,-7.801,train,test,train,train,train
2MFC_2_RNA_B_D_2MFC_2_PROT_A_C,-7.801,train,test,train,train,train
2MFC_3_RNA_B_D_2MFC_3_PROT_A_C,-7.801,train,test,train,train,train
2MFC_4_RNA_B_D_2MFC_4_PROT_A_C,-7.801,train,test,train,train,train
2MFC_5_RNA_B_D_2MFC_5_PROT_A_C,-7.801,train,test,train,train,train
2MFC_6_RNA_B_D_2MFC_6_PROT_A_C,-7.801,train,test,train,train,train
2MFC_7_RNA_B_D_2MFC_7_PROT_A_C,-7.801,train,test,train,train,train
2MFC_8_RNA_B_D_2MFC_8_PROT_A_C,-7.801,train,test,train,train,train
2MFC_9_RNA_B_D_2MFC_9_PROT_A_C,-7.801,train,test,train,train,train
2MFE_0_RNA_B_D_2MFE_0_PROT_A_C,-9.18,train,test,train,train,train
2MFE_10_RNA_B_D_2MFE_10_PROT_A_C,-9.18,train,test,train,train,train
2MFE_11_RNA_B_D_2MFE_11_PROT_A_C,-9.18,train,test,train,train,train
2MFE_12_RNA_B_D_2MFE_12_PROT_A_C,-9.18,train,test,train,train,train
2MFE_13_RNA_B_D_2MFE_13_PROT_A_C,-9.18,train,test,train,train,train
2MFE_14_RNA_B_D_2MFE_14_PROT_A_C,-9.18,train,test,train,train,train
2MFE_15_RNA_B_D_2MFE_15_PROT_A_C,-9.18,train,test,train,train,train
2MFE_16_RNA_B_D_2MFE_16_PROT_A_C,-9.18,train,test,train,train,train
2MFE_17_RNA_B_D_2MFE_17_PROT_A_C,-9.18,train,test,train,train,train
2MFE_18_RNA_B_D_2MFE_18_PROT_A_C,-9.18,train,test,train,train,train
2MFE_19_RNA_B_D_2MFE_19_PROT_A_C,-9.18,train,test,train,train,train
2MFE_1_RNA_B_D_2MFE_1_PROT_A_C,-9.18,train,test,train,train,train
2MFE_2_RNA_B_D_2MFE_2_PROT_A_C,-9.18,train,test,train,train,train
2MFE_3_RNA_B_D_2MFE_3_PROT_A_C,-9.18,train,test,train,train,train
2MFE_4_RNA_B_D_2MFE_4_PROT_A_C,-9.18,train,test,train,train,train
2MFE_5_RNA_B_D_2MFE_5_PROT_A_C,-9.18,train,test,train,train,train
2MFE_6_RNA_B_D_2MFE_6_PROT_A_C,-9.18,train,test,train,train,train
2MFE_7_RNA_B_D_2MFE_7_PROT_A_C,-9.18,train,test,train,train,train
2MFE_8_RNA_B_D_2MFE_8_PROT_A_C,-9.18,train,test,train,train,train
2MFE_9_RNA_B_D_2MFE_9_PROT_A_C,-9.18,train,test,train,train,train
2MFF_0_RNA_B_D_2MFF_0_PROT_A_C,-7.941,train,test,train,train,train
2MFF_10_RNA_B_D_2MFF_10_PROT_A_C,-7.941,train,test,train,train,train
2MFF_11_RNA_B_D_2MFF_11_PROT_A_C,-7.941,train,test,train,train,train
2MFF_12_RNA_B_D_2MFF_12_PROT_A_C,-7.941,train,test,train,train,train
2MFF_13_RNA_B_D_2MFF_13_PROT_A_C,-7.941,train,test,train,train,train
2MFF_14_RNA_B_D_2MFF_14_PROT_A_C,-7.941,train,test,train,train,train
2MFF_15_RNA_B_D_2MFF_15_PROT_A_C,-7.941,train,test,train,train,train
2MFF_16_RNA_B_D_2MFF_16_PROT_A_C,-7.941,train,test,train,train,train
2MFF_17_RNA_B_D_2MFF_17_PROT_A_C,-7.941,train,test,train,train,train
2MFF_18_RNA_B_D_2MFF_18_PROT_A_C,-7.941,train,test,train,train,train
2MFF_19_RNA_B_D_2MFF_19_PROT_A_C,-7.941,train,test,train,train,train
2MFF_1_RNA_B_D_2MFF_1_PROT_A_C,-7.941,train,test,train,train,train
2MFF_2_RNA_B_D_2MFF_2_PROT_A_C,-7.941,train,test,train,train,train
2MFF_3_RNA_B_D_2MFF_3_PROT_A_C,-7.941,train,test,train,train,train
2MFF_4_RNA_B_D_2MFF_4_PROT_A_C,-7.941,train,test,train,train,train
2MFF_5_RNA_B_D_2MFF_5_PROT_A_C,-7.941,train,test,train,train,train
2MFF_6_RNA_B_D_2MFF_6_PROT_A_C,-7.941,train,test,train,train,train
2MFF_7_RNA_B_D_2MFF_7_PROT_A_C,-7.941,train,test,train,train,train
2MFF_8_RNA_B_D_2MFF_8_PROT_A_C,-7.941,train,test,train,train,train
2MFF_9_RNA_B_D_2MFF_9_PROT_A_C,-7.941,train,test,train,train,train
2MFG_0_RNA_B_D_2MFG_0_PROT_A_C,-7.55,train,test,train,train,train
